username,repo,rating,link
mrdoob,three.js,"98,546",https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,"25,805",https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,"22,625",https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,"22,376",https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,"19,248",https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,"17,319",https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,"16,960",https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,"16,138",https://github.com/aframevr/aframe
CesiumGS,cesium,"11,760",https://github.com/CesiumGS/cesium
blender,blender,"11,331",https://github.com/blender/blender
MonoGame,MonoGame,"10,743",https://github.com/MonoGame/MonoGame
isl-org,Open3D,"10,393",https://github.com/isl-org/Open3D
metafizzy,zdog,"10,216",https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,"9,410",https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,"8,386",https://github.com/nerfstudio-project/nerfstudio
a1studmuffin,SpaceshipGenerator,"7,567",https://github.com/a1studmuffin/SpaceshipGenerator
domlysz,BlenderGIS,"7,184",https://github.com/domlysz/BlenderGIS
FyroxEngine,Fyrox,"7,146",https://github.com/FyroxEngine/Fyrox
google,model-viewer,"6,469",https://github.com/google/model-viewer
openscad,openscad,"6,392",https://github.com/openscad/openscad
