username,repo,rating,link
public-apis,public-apis,"290,183",https://github.com/public-apis/public-apis
neovim,neovim,"75,961",https://github.com/neovim/neovim
tiangolo,fastapi,"70,312",https://github.com/tiangolo/fastapi
hoppscotch,hoppscotch,"59,827",https://github.com/hoppscotch/hoppscotch
strapi,strapi,"59,696",https://github.com/strapi/strapi
ocornut,imgui,"55,347",https://github.com/ocornut/imgui
slatedocs,slate,"35,803",https://github.com/slatedocs/slate
Kong,insomnia,"32,955",https://github.com/Kong/insomnia
trpc,trpc,"32,431",https://github.com/trpc/trpc
httpie,cli,"31,652",https://github.com/httpie/cli
QuivrHQ,quivr,"31,619",https://github.com/QuivrHQ/quivr
ccxt,ccxt,"31,167",https://github.com/ccxt/ccxt
hasura,graphql-engine,"30,777",https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,"30,240",https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,"27,419",https://github.com/encode/django-rest-framework
YMFE,yapi,"27,007",https://github.com/YMFE/yapi
directus,directus,"25,212",https://github.com/directus/directus
littlecodersh,ItChat,"25,022",https://github.com/littlecodersh/ItChat
microsoft,api-guidelines,"22,365",https://github.com/microsoft/api-guidelines
PostgREST,postgrest,"22,051",https://github.com/PostgREST/postgrest
