username,repo,rating,link
bitwarden,server,"14,242",https://github.com/bitwarden/server
dotnet,AspNetCore.Docs,"12,326",https://github.com/dotnet/AspNetCore.Docs
abpframework,abp,"12,178",https://github.com/abpframework/abp
aspnetboilerplate,aspnetboilerplate,"11,549",https://github.com/aspnetboilerplate/aspnetboilerplate
nopSolutions,nopCommerce,"8,874",https://github.com/nopSolutions/nopCommerce
ElectronNET,Electron.NET,"7,090",https://github.com/ElectronNET/Electron.NET
thangchung,clean-code-dotnet,"6,758",https://github.com/thangchung/clean-code-dotnet
RicoSuter,NSwag,"6,448",https://github.com/RicoSuter/NSwag
FastEndpoints,FastEndpoints,"3,836",https://github.com/FastEndpoints/FastEndpoints
dotnet,aspnet-api-versioning,"2,971",https://github.com/dotnet/aspnet-api-versioning
smartstore,SmartStoreNET,"2,637",https://github.com/smartstore/SmartStoreNET
mjebrahimi,Awesome-Microservices-DotNet,"2,573",https://github.com/mjebrahimi/Awesome-Microservices-DotNet
serenity-is,Serenity,"2,547",https://github.com/serenity-is/Serenity
loic-sharma,BaGet,"2,511",https://github.com/loic-sharma/BaGet
JimBobSquarePants,ImageProcessor,"2,497",https://github.com/JimBobSquarePants/ImageProcessor
TrilonIO,aspnetcore-angular-universal,"1,465",https://github.com/TrilonIO/aspnetcore-angular-universal
milanm,DotNet-Developer-Roadmap,"1,375",https://github.com/milanm/DotNet-Developer-Roadmap
TrilonIO,aspnetcore-Vue-starter,"1,214",https://github.com/TrilonIO/aspnetcore-Vue-starter
MarimerLLC,csla,"1,213",https://github.com/MarimerLLC/csla
smartstore,Smartstore,"1,048",https://github.com/smartstore/Smartstore
