username,repo,rating,link
amphp,amp,"4,120",https://github.com/amphp/amp
danog,MadelineProto,"2,650",https://github.com/danog/MadelineProto
unreal4u,telegram-api,780,https://github.com/unreal4u/telegram-api
amphp,parallel,737,https://github.com/amphp/parallel
amphp,http-client,691,https://github.com/amphp/http-client
amphp,byte-stream,356,https://github.com/amphp/byte-stream
php-service-bus,service-bus,347,https://github.com/php-service-bus/service-bus
amphp,mysql,343,https://github.com/amphp/mysql
amphp,parallel-functions,264,https://github.com/amphp/parallel-functions
amphp,process,225,https://github.com/amphp/process
amphp,socket,214,https://github.com/amphp/socket
xtrime-ru,TelegramRSS,213,https://github.com/xtrime-ru/TelegramRSS
amphp,sync,155,https://github.com/amphp/sync
amphp,dns,148,https://github.com/amphp/dns
amphp,redis,146,https://github.com/amphp/redis
amphp,websocket-client,137,https://github.com/amphp/websocket-client
kelunik,acme,120,https://github.com/kelunik/acme
amphp,websocket-server,111,https://github.com/amphp/websocket-server
amphp,serialization,105,https://github.com/amphp/serialization
amphp,cache,95,https://github.com/amphp/cache
