username,repo,rating,link
flutter,flutter,"161,246",https://github.com/flutter/flutter
facebook,react-native,"115,443",https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,"108,960",https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,"101,146",https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,"76,643",https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,"51,020",https://github.com/Solido/awesome-flutter
google,material-design-icons,"49,697",https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,"48,972",https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,"48,161",https://github.com/tldr-pages/tldr
square,okhttp,"45,211",https://github.com/square/okhttp
android,architecture-samples,"43,782",https://github.com/android/architecture-samples
laurent22,joplin,"42,617",https://github.com/laurent22/joplin
square,retrofit,"42,564",https://github.com/square/retrofit
appwrite,appwrite,"40,735",https://github.com/appwrite/appwrite
dcloudio,uni-app,"39,293",https://github.com/dcloudio/uni-app
skylot,jadx,"38,752",https://github.com/skylot/jadx
fastlane,fastlane,"38,555",https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,"37,216",https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,"34,637",https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,"34,628",https://github.com/airbnb/lottie-android
