username,repo,rating,link
justjavac,free-programming-books-zh_CN,"108,960",https://github.com/justjavac/free-programming-books-zh_CN
angular,angular,"94,363",https://github.com/angular/angular
storybookjs,storybook,"82,627",https://github.com/storybookjs/storybook
leonardomso,33-js-concepts,"61,718",https://github.com/leonardomso/33-js-concepts
ionic-team,ionic-framework,"50,347",https://github.com/ionic-team/ionic-framework
prettier,prettier,"48,137",https://github.com/prettier/prettier
Asabeneh,30-Days-Of-JavaScript,"40,759",https://github.com/Asabeneh/30-Days-Of-JavaScript
SheetJS,sheetjs,"34,410",https://github.com/SheetJS/sheetjs
angular,angular-cli,"26,578",https://github.com/angular/angular-cli
angular,components,"24,063",https://github.com/angular/components
NativeScript,NativeScript,"23,598",https://github.com/NativeScript/NativeScript
goldbergyoni,javascript-testing-best-practices,"23,481",https://github.com/goldbergyoni/javascript-testing-best-practices
wailsapp,wails,"21,884",https://github.com/wailsapp/wails
nrwl,nx,"21,805",https://github.com/nrwl/nx
sudheerj,javascript-interview-questions,"21,549",https://github.com/sudheerj/javascript-interview-questions
jhipster,generator-jhipster,"21,200",https://github.com/jhipster/generator-jhipster
pubkey,rxdb,"20,518",https://github.com/pubkey/rxdb
teambit,bit,"17,518",https://github.com/teambit/bit
sweetalert2,sweetalert2,"16,749",https://github.com/sweetalert2/sweetalert2
paperless-ngx,paperless-ngx,"16,429",https://github.com/paperless-ngx/paperless-ngx
