username,repo,rating,link
bregman-arie,devops-exercises,"63,082",https://github.com/bregman-arie/devops-exercises
ansible,ansible,"60,965",https://github.com/ansible/ansible
trailofbits,algo,"28,256",https://github.com/trailofbits/algo
MichaelCade,90DaysOfDevOps,"25,744",https://github.com/MichaelCade/90DaysOfDevOps
StreisandEffect,streisand,"23,106",https://github.com/StreisandEffect/streisand
kubernetes-sigs,kubespray,"15,289",https://github.com/kubernetes-sigs/kubespray
ansible,awx,"13,357",https://github.com/ansible/awx
easzlab,kubeasz,"10,019",https://github.com/easzlab/kubeasz
semaphoreui,semaphore,"9,145",https://github.com/semaphoreui/semaphore
geerlingguy,ansible-for-devops,"7,962",https://github.com/geerlingguy/ansible-for-devops
netbootxyz,netboot.xyz,"7,752",https://github.com/netbootxyz/netboot.xyz
khuedoan,homelab,"7,681",https://github.com/khuedoan/homelab
Tikam02,DevOps-Guide,"7,613",https://github.com/Tikam02/DevOps-Guide
geerlingguy,mac-dev-playbook,"5,766",https://github.com/geerlingguy/mac-dev-playbook
rundeck,rundeck,"5,293",https://github.com/rundeck/rundeck
KubeOperator,KubeOperator,"4,929",https://github.com/KubeOperator/KubeOperator
clong,DetectionLab,"4,494",https://github.com/clong/DetectionLab
ansible,molecule,"3,799",https://github.com/ansible/molecule
dev-sec,ansible-collection-hardening,"3,647",https://github.com/dev-sec/ansible-collection-hardening
opendevops-cn,opendevops,"3,610",https://github.com/opendevops-cn/opendevops
