username,repo,rating,link
arendst,Tasmota,"21,255",https://github.com/arendst/Tasmota
MarlinFirmware,Marlin,"15,852",https://github.com/MarlinFirmware/Marlin
tinygo-org,tinygo,"14,379",https://github.com/tinygo-org/tinygo
arduino,Arduino,"13,981",https://github.com/arduino/Arduino
rwaldron,johnny-five,"13,199",https://github.com/rwaldron/johnny-five
SpacehuhnTech,esp8266_deauther,"12,811",https://github.com/SpacehuhnTech/esp8266_deauther
espressif,arduino-esp32,"12,401",https://github.com/espressif/arduino-esp32
gurugio,lowlevelprogramming-university,"9,510",https://github.com/gurugio/lowlevelprogramming-university
hybridgroup,gobot,"8,704",https://github.com/hybridgroup/gobot
platformio,platformio-core,"7,491",https://github.com/platformio/platformio-core
bblanchon,ArduinoJson,"6,540",https://github.com/bblanchon/ArduinoJson
tzapu,WiFiManager,"6,336",https://github.com/tzapu/WiFiManager
olikraus,u8g2,"4,721",https://github.com/olikraus/u8g2
justcallmekoko,ESP32Marauder,"4,472",https://github.com/justcallmekoko/ESP32Marauder
Arduino-IRremote,Arduino-IRremote,"4,264",https://github.com/Arduino-IRremote/Arduino-IRremote
ClemensElflein,OpenMower,"4,243",https://github.com/ClemensElflein/OpenMower
arduino,arduino-cli,"4,159",https://github.com/arduino/arduino-cli
Serial-Studio,Serial-Studio,"4,069",https://github.com/Serial-Studio/Serial-Studio
omriharel,deej,"4,008",https://github.com/omriharel/deej
hybridgroup,cylon,"4,003",https://github.com/hybridgroup/cylon
