username,repo,rating,link
atom,atom,"59,950",https://github.com/atom/atom
miniflux,v2,"6,184",https://github.com/miniflux/v2
themerdev,themer,"5,370",https://github.com/themerdev/themer
shd101wyy,markdown-preview-enhanced,"4,055",https://github.com/shd101wyy/markdown-preview-enhanced
nteract,hydrogen,"3,902",https://github.com/nteract/hydrogen
mmcdole,gofeed,"2,434",https://github.com/mmcdole/gofeed
atom,teletype,"2,408",https://github.com/atom/teletype
feeddd,feeds,"2,065",https://github.com/feeddd/feeds
NaiboWang,CommandlineConfig,"2,044",https://github.com/NaiboWang/CommandlineConfig
mehcode,awesome-atom,"1,893",https://github.com/mehcode/awesome-atom
kurtmckee,feedparser,"1,823",https://github.com/kurtmckee/feedparser
ocaml,merlin,"1,545",https://github.com/ocaml/merlin
simplepie,simplepie,"1,521",https://github.com/simplepie/simplepie
joefitzgerald,go-plus,"1,513",https://github.com/joefitzgerald/go-plus
Glavin001,atom-beautify,"1,498",https://github.com/Glavin001/atom-beautify
fwcd,kotlin-language-server,"1,465",https://github.com/fwcd/kotlin-language-server
t9md,atom-vim-mode-plus,"1,402",https://github.com/t9md/atom-vim-mode-plus
MagicStack,MagicPython,"1,387",https://github.com/MagicStack/MagicPython
martinrotter,rssguard,"1,343",https://github.com/martinrotter/rssguard
file-icons,atom,"1,296",https://github.com/file-icons/atom
