username,repo,rating,link
sindresorhus,awesome,"297,632",https://github.com/sindresorhus/awesome
vinta,awesome-python,"203,319",https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,"176,041",https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,"127,843",https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,"119,866",https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,"84,208",https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,"82,918",https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,"76,643",https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,"70,888",https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,"66,298",https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,"63,228",https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,"61,673",https://github.com/enaqx/awesome-react
sindresorhus,awesome-nodejs,"55,625",https://github.com/sindresorhus/awesome-nodejs
fffaraz,awesome-cpp,"55,116",https://github.com/fffaraz/awesome-cpp
prakhar1989,awesome-courses,"53,499",https://github.com/prakhar1989/awesome-courses
binhnguyennus,awesome-scalability,"52,773",https://github.com/binhnguyennus/awesome-scalability
Solido,awesome-flutter,"51,020",https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,"48,972",https://github.com/wasabeef/awesome-android-ui
vsouza,awesome-ios,"45,602",https://github.com/vsouza/awesome-ios
tiimgreen,github-cheat-sheet,"45,400",https://github.com/tiimgreen/github-cheat-sheet
