username,repo,rating,link
bregman-arie,devops-exercises,"63,082",https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,"40,555",https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,"19,559",https://github.com/pulumi/pulumi
recommenders-team,recommenders,"17,858",https://github.com/recommenders-team/recommenders
getsops,sops,"14,989",https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,"14,687",https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,"13,676",https://github.com/Azure/azure-quickstart-templates
caprover,caprover,"12,096",https://github.com/caprover/caprover
infracost,infracost,"10,211",https://github.com/infracost/infracost
prowler-cloud,prowler,"9,472",https://github.com/prowler-cloud/prowler
danny-avila,LibreChat,"9,442",https://github.com/danny-avila/LibreChat
google,go-cloud,"9,364",https://github.com/google/go-cloud
milanm,DevOps-Roadmap,"9,297",https://github.com/milanm/DevOps-Roadmap
microsoft,computervision-recipes,"9,280",https://github.com/microsoft/computervision-recipes
budtmo,docker-android,"7,784",https://github.com/budtmo/docker-android
Netflix,metaflow,"7,523",https://github.com/Netflix/metaflow
microsoft,azuredatastudio,"7,424",https://github.com/microsoft/azuredatastudio
midwayjs,midway,"7,136",https://github.com/midwayjs/midway
node-formidable,formidable,"6,929",https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,"6,758",https://github.com/thangchung/clean-code-dotnet
