username,repo,rating,link
babel,babel,"42,872",https://github.com/babel/babel
swc-project,swc,"29,885",https://github.com/swc-project/swc
nylas,nylas-mail,"24,785",https://github.com/nylas/nylas-mail
electron-react-boilerplate,electron-react-boilerplate,"22,578",https://github.com/electron-react-boilerplate/electron-react-boilerplate
SimulatedGREG,electron-vue,"15,441",https://github.com/SimulatedGREG/electron-vue
grab,front-end-guide,"15,076",https://github.com/grab/front-end-guide
jamiebuilds,babel-handbook,"11,911",https://github.com/jamiebuilds/babel-handbook
developit,htm,"8,546",https://github.com/developit/htm
grommet,grommet,"8,301",https://github.com/grommet/grommet
ben-rogerson,twin.macro,"7,793",https://github.com/ben-rogerson/twin.macro
angular-fullstack,generator-angular-fullstack,"6,131",https://github.com/angular-fullstack/generator-angular-fullstack
fkling,astexplorer,"5,918",https://github.com/fkling/astexplorer
ast-grep,ast-grep,"5,776",https://github.com/ast-grep/ast-grep
documentationjs,documentation,"5,759",https://github.com/documentationjs/documentation
insin,nwb,"5,564",https://github.com/insin/nwb
thinkjs,thinkjs,"5,306",https://github.com/thinkjs/thinkjs
egoist,poi,"5,237",https://github.com/egoist/poi
thx,gogocode,"5,163",https://github.com/thx/gogocode
duxianwei520,react,"4,948",https://github.com/duxianwei520/react
babel,babel-loader,"4,795",https://github.com/babel/babel-loader
