username,repo,rating,link
jlevy,the-art-of-command-line,"148,056",https://github.com/jlevy/the-art-of-command-line
nvm-sh,nvm,"75,239",https://github.com/nvm-sh/nvm
junegunn,fzf,"59,180",https://github.com/junegunn/fzf
google,zx,"40,769",https://github.com/google/zx
starship,starship,"40,389",https://github.com/starship/starship
LeCoupa,awesome-cheatsheets,"37,332",https://github.com/LeCoupa/awesome-cheatsheets
acmesh-official,acme.sh,"36,218",https://github.com/acmesh-official/acme.sh
dylanaraps,pure-bash-bible,"35,776",https://github.com/dylanaraps/pure-bash-bible
koalaman,shellcheck,"34,838",https://github.com/koalaman/shellcheck
alebcay,awesome-shell,"30,934",https://github.com/alebcay/awesome-shell
mathiasbynens,dotfiles,"29,752",https://github.com/mathiasbynens/dotfiles
jaywcjlove,linux-command,"28,311",https://github.com/jaywcjlove/linux-command
withfig,autocomplete,"24,245",https://github.com/withfig/autocomplete
asdf-vm,asdf,"20,329",https://github.com/asdf-vm/asdf
dylanaraps,neofetch,"20,260",https://github.com/dylanaraps/neofetch
kingToolbox,WindTerm,"20,207",https://github.com/kingToolbox/WindTerm
warpdotdev,Warp,"18,578",https://github.com/warpdotdev/Warp
Nyr,openvpn-install,"18,294",https://github.com/Nyr/openvpn-install
ajeetdsouza,zoxide,"18,042",https://github.com/ajeetdsouza/zoxide
atuinsh,atuin,"17,400",https://github.com/atuinsh/atuin
