username,repo,rating,link
bitcoin,bitcoin,"75,306",https://github.com/bitcoin/bitcoin
ccxt,ccxt,"31,167",https://github.com/ccxt/ccxt
freqtrade,freqtrade,"25,291",https://github.com/freqtrade/freqtrade
bitcoinbook,bitcoinbook,"22,490",https://github.com/bitcoinbook/bitcoinbook
HelloZeroNet,ZeroNet,"18,201",https://github.com/HelloZeroNet/ZeroNet
solana-labs,solana,"11,949",https://github.com/solana-labs/solana
bbfamily,abu,"11,182",https://github.com/bbfamily/abu
askmike,gekko,"10,020",https://github.com/askmike/gekko
dvf,blockchain,"7,660",https://github.com/dvf/blockchain
lightningnetwork,lnd,"7,453",https://github.com/lightningnetwork/lnd
lbryio,lbry-sdk,"7,191",https://github.com/lbryio/lbry-sdk
spesmilo,electrum,"7,048",https://github.com/spesmilo/electrum
yeasy,blockchain_guide,"6,713",https://github.com/yeasy/blockchain_guide
btcsuite,btcd,"6,072",https://github.com/btcsuite/btcd
getumbrel,umbrel,"6,034",https://github.com/getumbrel/umbrel
btcpayserver,btcpayserver,"5,984",https://github.com/btcpayserver/btcpayserver
butor,blackbird,"5,872",https://github.com/butor/blackbird
UFund-Me,Qbot,"5,693",https://github.com/UFund-Me/Qbot
bitcoinjs,bitcoinjs-lib,"5,466",https://github.com/bitcoinjs/bitcoinjs-lib
jesse-ai,jesse,"5,192",https://github.com/jesse-ai/jesse
