username,repo,rating,link
ccxt,ccxt,"31,167",https://github.com/ccxt/ccxt
discordjs,discord.js,"24,731",https://github.com/discordjs/discord.js
python-telegram-bot,python-telegram-bot,"24,636",https://github.com/python-telegram-bot/python-telegram-bot
wechaty,wechaty,"18,795",https://github.com/wechaty/wechaty
RasaHQ,rasa,"17,871",https://github.com/RasaHQ/rasa
hubotio,hubot,"16,537",https://github.com/hubotio/hubot
InstaPy,InstaPy,"16,304",https://github.com/InstaPy/InstaPy
leon-ai,leon,"14,465",https://github.com/leon-ai/leon
Rapptz,discord.py,"14,183",https://github.com/Rapptz/discord.py
tgbot-collection,YYeTsBot,"13,891",https://github.com/tgbot-collection/YYeTsBot
gunthercox,ChatterBot,"13,876",https://github.com/gunthercox/ChatterBot
pedroslopez,whatsapp-web.js,"13,377",https://github.com/pedroslopez/whatsapp-web.js
lss233,chatgpt-mirai-qq-bot,"11,853",https://github.com/lss233/chatgpt-mirai-qq-bot
howdyai,botkit,"11,322",https://github.com/howdyai/botkit
Mrs4s,go-cqhttp,"10,168",https://github.com/Mrs4s/go-cqhttp
sfyc23,EverydayWechat,"9,830",https://github.com/sfyc23/EverydayWechat
yagop,node-telegram-bot-api,"7,900",https://github.com/yagop/node-telegram-bot-api
microsoft,ailab,"7,620",https://github.com/microsoft/ailab
telegraf,telegraf,"7,597",https://github.com/telegraf/telegraf
microsoft,botframework-sdk,"7,331",https://github.com/microsoft/botframework-sdk
