username,repo,rating,link
CyC2018,CS-Notes,"171,842",https://github.com/CyC2018/CS-Notes
practical-tutorials,project-based-learning,"163,945",https://github.com/practical-tutorials/project-based-learning
fffaraz,awesome-cpp,"55,116",https://github.com/fffaraz/awesome-cpp
azl397985856,leetcode,"53,652",https://github.com/azl397985856/leetcode
youngyangyang04,leetcode-master,"46,825",https://github.com/youngyangyang04/leetcode-master
x64dbg,x64dbg,"43,071",https://github.com/x64dbg/x64dbg
Light-City,CPlusPlusThings,"36,870",https://github.com/Light-City/CPlusPlusThings
huihut,interview,"32,883",https://github.com/huihut/interview
carbon-language,carbon-lang,"32,123",https://github.com/carbon-language/carbon-lang
CMU-Perceptual-Computing-Lab,openpose,"29,709",https://github.com/CMU-Perceptual-Computing-Lab/openpose
TheAlgorithms,C-Plus-Plus,"28,984",https://github.com/TheAlgorithms/C-Plus-Plus
microsoft,calculator,"28,787",https://github.com/microsoft/calculator
doocs,leetcode,"28,673",https://github.com/doocs/leetcode
aseprite,aseprite,"26,335",https://github.com/aseprite/aseprite
dragonflydb,dragonfly,"23,523",https://github.com/dragonflydb/dragonfly
changkun,modern-cpp-tutorial,"23,034",https://github.com/changkun/modern-cpp-tutorial
ethereum,solidity,"22,158",https://github.com/ethereum/solidity
gabime,spdlog,"22,048",https://github.com/gabime/spdlog
microsoft,vcpkg,"21,337",https://github.com/microsoft/vcpkg
ssloy,tinyrenderer,"19,248",https://github.com/ssloy/tinyrenderer
