username,repo,rating,link
Genymobile,scrcpy,"101,146",https://github.com/Genymobile/scrcpy
neovim,neovim,"75,961",https://github.com/neovim/neovim
obsproject,obs-studio,"55,221",https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,"55,116",https://github.com/fffaraz/awesome-cpp
git,git,"49,455",https://github.com/git/git
FFmpeg,FFmpeg,"42,021",https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,"39,289",https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,"34,789",https://github.com/vim/vim
curl,curl,"34,002",https://github.com/curl/curl
huihut,interview,"32,883",https://github.com/huihut/interview
mpv-player,mpv,"25,710",https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,"25,671",https://github.com/ggreer/the_silver_searcher
ossrs,srs,"24,093",https://github.com/ossrs/srs
google,flatbuffers,"21,964",https://github.com/google/flatbuffers
kovidgoyal,kitty,"21,795",https://github.com/kovidgoyal/kitty
ruby,ruby,"21,481",https://github.com/ruby/ruby
microsoft,vcpkg,"21,337",https://github.com/microsoft/vcpkg
hashcat,hashcat,"19,743",https://github.com/hashcat/hashcat
radareorg,radare2,"19,527",https://github.com/radareorg/radare2
raysan5,raylib,"18,539",https://github.com/raysan5/raylib
