username,repo,rating,link
CSSEGISandData,COVID-19,"29,182",https://github.com/CSSEGISandData/COVID-19
nytimes,covid-19-data,"6,986",https://github.com/nytimes/covid-19-data
covid19india,covid19india-react,"6,864",https://github.com/covid19india/covid19india-react
Tokyo-Metro-Gov,covid19,"6,265",https://github.com/Tokyo-Metro-Gov/covid19
owid,covid-19-data,"5,632",https://github.com/owid/covid-19-data
pcm-dpc,COVID-19,"3,879",https://github.com/pcm-dpc/COVID-19
ieee8023,covid-chestxray-dataset,"2,969",https://github.com/ieee8023/covid-chestxray-dataset
geohot,corona,"2,477",https://github.com/geohot/corona
disease-sh,API,"2,452",https://github.com/disease-sh/API
WorldHealthOrganization,app,"2,122",https://github.com/WorldHealthOrganization/app
corona-warn-app,cwa-server,"1,901",https://github.com/corona-warn-app/cwa-server
ahmadawais,corona-cli,"1,849",https://github.com/ahmadawais/corona-cli
cirosantilli,china-dictatorship,"1,761",https://github.com/cirosantilli/china-dictatorship
github,covid19-dashboard,"1,643",https://github.com/github/covid19-dashboard
ExpDev07,coronavirus-tracker-api,"1,594",https://github.com/ExpDev07/coronavirus-tracker-api
soroushchehresa,awesome-coronavirus,"1,551",https://github.com/soroushchehresa/awesome-coronavirus
mhdhejazi,CoronaTracker,"1,540",https://github.com/mhdhejazi/CoronaTracker
chandrikadeb7,Face-Mask-Detection,"1,512",https://github.com/chandrikadeb7/Face-Mask-Detection
chrismattmann,tika-python,"1,404",https://github.com/chrismattmann/tika-python
neherlab,covid19_scenarios,"1,362",https://github.com/neherlab/covid19_scenarios
