username,repo,rating,link
iamadamdev,bypass-paywalls-chrome,"46,225",https://github.com/iamadamdev/bypass-paywalls-chrome
jaywcjlove,linux-command,"28,311",https://github.com/jaywcjlove/linux-command
refined-github,refined-github,"22,957",https://github.com/refined-github/refined-github
openai-translator,openai-translator,"22,281",https://github.com/openai-translator/openai-translator
darkreader,darkreader,"18,596",https://github.com/darkreader/darkreader
dailydotdev,daily,"16,220",https://github.com/dailydotdev/daily
checkly,headless-recorder,"14,936",https://github.com/checkly/headless-recorder
unbug,codelf,"13,962",https://github.com/unbug/codelf
gildas-lormeau,SingleFile,"13,566",https://github.com/gildas-lormeau/SingleFile
wong2,chatgpt-google-extension,"13,270",https://github.com/wong2/chatgpt-google-extension
immersive-translate,immersive-translate,"13,158",https://github.com/immersive-translate/immersive-translate
Anarios,return-youtube-dislike,"12,154",https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,"11,591",https://github.com/crimx/ext-saladict
listen1,listen1_chrome_extension,"10,974",https://github.com/listen1/listen1_chrome_extension
AutomaApp,automa,"9,512",https://github.com/AutomaApp/automa
alyssaxuu,screenity,"9,500",https://github.com/alyssaxuu/screenity
josStorer,chatGPTBox,"9,473",https://github.com/josStorer/chatGPTBox
chathub-dev,chathub,"9,443",https://github.com/chathub-dev/chathub
ajayyy,SponsorBlock,"8,649",https://github.com/ajayyy/SponsorBlock
appbaseio,dejavu,"8,320",https://github.com/appbaseio/dejavu
