username,repo,rating,link
electron,electron,"111,747",https://github.com/electron/electron
puppeteer,puppeteer,"86,606",https://github.com/puppeteer/puppeteer
microsoft,playwright,"61,234",https://github.com/microsoft/playwright
iamadamdev,bypass-paywalls-chrome,"46,225",https://github.com/iamadamdev/bypass-paywalls-chrome
FiloSottile,mkcert,"45,479",https://github.com/FiloSottile/mkcert
jaywcjlove,linux-command,"28,311",https://github.com/jaywcjlove/linux-command
ovity,octotree,"22,680",https://github.com/ovity/octotree
segment-boneyard,nightmare,"19,506",https://github.com/segment-boneyard/nightmare
checkly,headless-recorder,"14,936",https://github.com/checkly/headless-recorder
GoogleChrome,chrome-extensions-samples,"14,177",https://github.com/GoogleChrome/chrome-extensions-samples
google,WebFundamentals,"13,842",https://github.com/google/WebFundamentals
gildas-lormeau,SingleFile,"13,566",https://github.com/gildas-lormeau/SingleFile
schickling,chromeless,"13,233",https://github.com/schickling/chromeless
casesandberg,react-color,"11,833",https://github.com/casesandberg/react-color
crimx,ext-saladict,"11,591",https://github.com/crimx/ext-saladict
MetaMask,metamask-extension,"11,398",https://github.com/MetaMask/metamask-extension
chromedp,chromedp,"10,307",https://github.com/chromedp/chromedp
moonD4rk,HackBrowserData,"9,896",https://github.com/moonD4rk/HackBrowserData
ajayyy,SponsorBlock,"8,649",https://github.com/ajayyy/SponsorBlock
bitwarden,clients,"8,220",https://github.com/bitwarden/clients
