username,repo,rating,link
metabase,metabase,"36,287",https://github.com/metabase/metabase
logseq,logseq,"29,436",https://github.com/logseq/logseq
penpot,penpot,"26,310",https://github.com/penpot/penpot
deeplearning4j,deeplearning4j,"13,404",https://github.com/deeplearning4j/deeplearning4j
LightTable,LightTable,"11,723",https://github.com/LightTable/LightTable
kanaka,mal,"9,784",https://github.com/kanaka/mal
lk-geimfari,awesomo,"9,210",https://github.com/lk-geimfari/awesomo
tonsky,datascript,"5,332",https://github.com/tonsky/datascript
reagent-project,reagent,"4,714",https://github.com/reagent-project/reagent
izhangzhihao,intellij-rainbow-brackets,"4,309",https://github.com/izhangzhihao/intellij-rainbow-brackets
riemann,riemann,"4,205",https://github.com/riemann/riemann
weavejester,compojure,"4,058",https://github.com/weavejester/compojure
bbatsov,clojure-style-guide,"3,975",https://github.com/bbatsov/clojure-style-guide
status-im,status-mobile,"3,813",https://github.com/status-im/status-mobile
babashka,babashka,"3,787",https://github.com/babashka/babashka
ring-clojure,ring,"3,702",https://github.com/ring-clojure/ring
defold,defold,"3,663",https://github.com/defold/defold
clojure-emacs,cider,"3,501",https://github.com/clojure-emacs/cider
viebel,klipse,"3,088",https://github.com/viebel/klipse
tallesl,Rich-Hickey-fanclub,"3,016",https://github.com/tallesl/Rich-Hickey-fanclub
