username,repo,rating,link
realm,SwiftLint,"18,271",https://github.com/realm/SwiftLint
facebook,infer,"14,671",https://github.com/facebook/infer
analysis-tools-dev,static-analysis,"12,772",https://github.com/analysis-tools-dev/static-analysis
federico-busato,Modern-CPP-Programming,"10,672",https://github.com/federico-busato/Modern-CPP-Programming
Kristories,awesome-guidelines,"9,462",https://github.com/Kristories/awesome-guidelines
super-linter,super-linter,"9,130",https://github.com/super-linter/super-linter
SonarSource,sonarqube,"8,518",https://github.com/SonarSource/sonarqube
checkstyle,checkstyle,"8,110",https://github.com/checkstyle/checkstyle
reviewdog,reviewdog,"7,315",https://github.com/reviewdog/reviewdog
facebook,pyre-check,"6,669",https://github.com/facebook/pyre-check
detekt,detekt,"6,001",https://github.com/detekt/detekt
import-js,eslint-plugin-import,"5,281",https://github.com/import-js/eslint-plugin-import
trekhleb,state-of-the-art-shitcode,"5,275",https://github.com/trekhleb/state-of-the-art-shitcode
pylint-dev,pylint,"5,092",https://github.com/pylint-dev/pylint
simplecov-ruby,simplecov,"4,704",https://github.com/simplecov-ruby/simplecov
pmd,pmd,"4,637",https://github.com/pmd/pmd
kucherenko,jscpd,"4,484",https://github.com/kucherenko/jscpd
phpro,grumphp,"4,081",https://github.com/phpro/grumphp
htmlhint,HTMLHint,"3,034",https://github.com/htmlhint/HTMLHint
codeclimate,codeclimate,"2,471",https://github.com/codeclimate/codeclimate
