username,repo,rating,link
ovity,octotree,"22,680",https://github.com/ovity/octotree
gitpod-io,gitpod,"12,243",https://github.com/gitpod-io/gitpod
reviewdog,reviewdog,"7,315",https://github.com/reviewdog/reviewdog
danger,danger,"5,331",https://github.com/danger/danger
danger,danger-js,"5,145",https://github.com/danger/danger-js
joho,awesome-code-review,"4,189",https://github.com/joho/awesome-code-review
Codium-ai,pr-agent,"3,960",https://github.com/Codium-ai/pr-agent
ajinabraham,nodejsscan,"2,312",https://github.com/ajinabraham/nodejsscan
microsoft,vscode-pull-request-github,"2,184",https://github.com/microsoft/vscode-pull-request-github
crev-dev,cargo-crev,"2,021",https://github.com/crev-dev/cargo-crev
houndci,hound,"1,941",https://github.com/houndci/hound
mbj,mutant,"1,920",https://github.com/mbj/mutant
Tencent,CodeAnalysis,"1,566",https://github.com/Tencent/CodeAnalysis
reviewboard,reviewboard,"1,531",https://github.com/reviewboard/reviewboard
ryanmcdermott,code-review-tips,"1,438",https://github.com/ryanmcdermott/code-review-tips
coderabbitai,ai-pr-reviewer,"1,321",https://github.com/coderabbitai/ai-pr-reviewer
mattzcarey,code-review-gpt,"1,284",https://github.com/mattzcarey/code-review-gpt
bit4woo,python_sec,"1,275",https://github.com/bit4woo/python_sec
code-review-checklists,java-concurrency,"1,248",https://github.com/code-review-checklists/java-concurrency
jiangsir404,Audit-Learning,956,https://github.com/jiangsir404/Audit-Learning
