username,repo,rating,link
ohmyzsh,ohmyzsh,"168,229",https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,"59,180",https://github.com/junegunn/fzf
sherlock-project,sherlock,"50,978",https://github.com/sherlock-project/sherlock
sharkdp,bat,"46,165",https://github.com/sharkdp/bat
jesseduffield,lazygit,"45,025",https://github.com/jesseduffield/lazygit
BurntSushi,ripgrep,"44,531",https://github.com/BurntSushi/ripgrep
wagoodman,dive,"43,359",https://github.com/wagoodman/dive
google,zx,"40,769",https://github.com/google/zx
n8n-io,n8n,"40,165",https://github.com/n8n-io/n8n
chubin,cheat.sh,"37,356",https://github.com/chubin/cheat.sh
spf13,cobra,"35,784",https://github.com/spf13/cobra
cli,cli,"35,244",https://github.com/cli/cli
httpie,cli,"31,652",https://github.com/httpie/cli
sharkdp,fd,"31,361",https://github.com/sharkdp/fd
alebcay,awesome-shell,"30,934",https://github.com/alebcay/awesome-shell
ibraheemdev,modern-unix,"29,580",https://github.com/ibraheemdev/modern-unix
acheong08,ChatGPT,"27,903",https://github.com/acheong08/ChatGPT
tqdm,tqdm,"27,315",https://github.com/tqdm/tqdm
angular,angular-cli,"26,578",https://github.com/angular/angular-cli
google,python-fire,"26,219",https://github.com/google/python-fire
