username,repo,rating,link
vercel,next.js,"120,003",https://github.com/vercel/next.js
rust-lang,rust,"92,401",https://github.com/rust-lang/rust
sveltejs,svelte,"76,147",https://github.com/sveltejs/svelte
webpack,webpack,"64,114",https://github.com/webpack/webpack
FuelLabs,sway,"63,158",https://github.com/FuelLabs/sway
gatsbyjs,gatsby,"54,975",https://github.com/gatsbyjs/gatsby
JetBrains,kotlin,"47,364",https://github.com/JetBrains/kotlin
parcel-bundler,parcel,"43,080",https://github.com/parcel-bundler/parcel
babel,babel,"42,872",https://github.com/babel/babel
evanw,esbuild,"37,183",https://github.com/evanw/esbuild
vlang,v,"35,244",https://github.com/vlang/v
carbon-language,carbon-lang,"32,123",https://github.com/carbon-language/carbon-lang
markedjs,marked,"31,766",https://github.com/markedjs/marked
ziglang,zig,"30,095",https://github.com/ziglang/zig
swc-project,swc,"29,885",https://github.com/swc-project/swc
typst,typst,"27,591",https://github.com/typst/typst
vercel,pkg,"24,165",https://github.com/vercel/pkg
v8,v8,"22,571",https://github.com/v8/v8
oracle,graal,"19,743",https://github.com/oracle/graal
RustPython,RustPython,"17,454",https://github.com/RustPython/RustPython
