username,repo,rating,link
localstack,localstack,"51,945",https://github.com/localstack/localstack
harness,gitness,"31,346",https://github.com/harness/gitness
jenkinsci,jenkins,"22,311",https://github.com/jenkinsci/jenkins
auchenberg,volkswagen,"12,856",https://github.com/auchenberg/volkswagen
dagger,dagger,"10,114",https://github.com/dagger/dagger
milanm,DevOps-Roadmap,"9,297",https://github.com/milanm/DevOps-Roadmap
openshift,origin,"8,434",https://github.com/openshift/origin
concourse,concourse,"7,154",https://github.com/concourse/concourse
gocd,gocd,"7,026",https://github.com/gocd/gocd
buildbot,buildbot,"5,162",https://github.com/buildbot/buildbot
gaia-pipeline,gaia,"5,154",https://github.com/gaia-pipeline/gaia
Strider-CD,strider,"4,587",https://github.com/Strider-CD/strider
jenkins-x,jx,"4,506",https://github.com/jenkins-x/jx
ovh,cds,"4,423",https://github.com/ovh/cds
Flagsmith,flagsmith,"4,218",https://github.com/Flagsmith/flagsmith
JamesIves,github-pages-deploy-action,"4,053",https://github.com/JamesIves/github-pages-deploy-action
TheLartians,ModernCppStarter,"4,030",https://github.com/TheLartians/ModernCppStarter
iterative,cml,"3,920",https://github.com/iterative/cml
werf,werf,"3,898",https://github.com/werf/werf
xcpretty,xcpretty,"3,886",https://github.com/xcpretty/xcpretty
